#=SORT(GOOGLEFINANCE("KRX:KOSPI200", "all", DATE(2003,1,1), DATE(2017,3,31), "DAILY"), 1, FALSE)
# Open,High,Low,Close => 3531
177.79,178.33,176.05,178.29
178.69,178.86,176.53,178.81
180.57,181.01,179.49,179.91
180.31,180.31,176.84,178.82
179.33,180.87,178.79,180.87
181.95,181.99,179.82,180.3
180.92,181.62,177.88,178.98
178.67,179.5,177.42,178.67
179.33,180.91,179.23,179.65
179.2,181.71,177.82,181.71
182.56,182.78,180.72,182.39
182.62,183.02,178.24,178.27
176.82,176.95,171.46,173.81
174.39,175.8,173.26,174.93
176.04,177.14,170.22,170.6
168.55,171.32,166.62,168.04
169.39,172.09,167.73,171.79
173.56,174.78,172.66,173.52
174.45,174.72,171.72,174.71
176.69,178.65,175.88,178.64
179.4,180.69,176.98,178.07
179.52,179.79,175.79,177.92
175.8,176.48,172.35,172.67
171.77,173.77,169.27,173.66
173.66,175.07,172.07,172.39
171.5,173.93,169.16,169.44
171.5,172.01,169.84,170.93
171.9,173.29,169.99,172.68
173.15,173.17,169.04,170.61
169.89,171.93,168.29,171.65
173.46,173.47,167.84,168.31
168.8,170.64,167.72,169.8
171.3,172.47,169.93,172.4
172.78,175.62,171.7,174.28
174.56,174.88,173.07,174.04
173.85,175.49,171,173.26
174.29,176.33,174.01,176.18
176.61,177.13,175.23,176.96
176.81,178.11,176.12,178.1
178.37,178.69,176.43,177.45
178.3,178.4,176.83,176.85
176.52,176.78,171.19,171.67
172.23,173.86,171.01,173.86
172.78,172.78,169.75,170.13
168.35,170.91,167.39,169.76
169.72,171.11,169.17,169.17
169.82,171.65,168.9,170.37
172.04,172.84,171.45,172.82
173.07,173.16,169.71,171.1
172.59,173.4,171.95,172.28
173.27,174.29,172.2,172.66
172.1,173.81,170.59,173.48
173.36,174.81,172.64,174.26
174.31,174.47,172.61,172.87
171.52,171.53,168.67,169.28
170.81,171.7,168.09,169.68
169.61,170.86,168.47,170.86
170.41,173.06,170.36,172.44
172.14,173.17,171.48,172.77
171.12,173.55,170.46,172.96
173.78,174.32,172.77,173.61
173.61,176.37,173.35,176.21
176.45,179.22,176.36,178.89
